IC,lambda,T,collapse
sin,1.0,20,False
sin,1.0,40,False
sin,1.0,60,False
sin,1.5,20,False
sin,1.5,40,False
sin,1.5,60,False
sin,2.0,20,False
sin,2.0,40,False
sin,2.0,60,False
sin,2.5,20,False
sin,2.5,40,False
sin,2.5,60,False
bump,1.0,20,False
bump,1.0,40,False
bump,1.0,60,False
bump,1.5,20,False
bump,1.5,40,False
bump,1.5,60,False
bump,2.0,20,False
bump,2.0,40,False
bump,2.0,60,False
bump,2.5,20,False
bump,2.5,40,False
bump,2.5,60,False
step,1.0,20,False
step,1.0,40,False
step,1.0,60,False
step,1.5,20,False
step,1.5,40,False
step,1.5,60,False
step,2.0,20,False
step,2.0,40,False
step,2.0,60,False
step,2.5,20,False
step,2.5,40,False
step,2.5,60,False
noise,1.0,20,False
noise,1.0,40,False
noise,1.0,60,False
noise,1.5,20,False
noise,1.5,40,False
noise,1.5,60,False
noise,2.0,20,False
noise,2.0,40,False
noise,2.0,60,False
noise,2.5,20,False
noise,2.5,40,False
noise,2.5,60,False
