t,K_pre,K_post
0.2,3.808356779784025,3.6924762319656277
0.24482758620689657,3.626004504355202,3.5112574420792027
0.2896551724137931,3.4656582426326006,3.3553770423464124
0.33448275862068966,3.3242829788269117,3.220317315310826
0.3793103448275862,3.19929956041267,3.1024923282378905
0.4241379310344828,3.08851262445563,2.9990426191175037
0.4689655172413793,2.9900502733795884,2.90767632686697
0.5137931034482759,2.902313548971132,2.826546154328207
0.5586206896551724,2.8239340811518825,2.7541539862083417
0.603448275862069,2.753738560344337,2.6892768587818585
0.6482758620689655,2.69071890853702,2.630909422377207
0.693103448275862,2.6340072122303635,2.5782191503179432
0.7379310344827585,2.5828546367994534,2.5305114052538134
0.7827586206896551,2.536613671822608,2.487202134369843
0.8275862068965518,2.4947231650597903,2.4477964739878697
0.8724137931034484,2.456695692726644,2.4118719363777075
0.9172413793103449,2.422106888573552,2.37906515397944
0.9620689655172414,2.390586416596916,2.349061389350353
1.006896551724138,2.361810324100763,2.3215861988919646
1.0517241379310345,2.3354945550502295,2.296398777033515
1.096551724137931,2.311389439675305,2.2732866144830126
1.1413793103448275,2.2892750063066796,2.252061186673399
1.186206896551724,2.2689569864634977,2.23255445222813
1.2310344827586206,2.250263405102342,2.214615990460489
1.2758620689655171,2.2330416653736114,2.1981106449269565
1.3206896551724137,2.2171560517936104,2.182916569436958
1.3655172413793102,2.2024855879086513,2.1689235956518536
1.410344827586207,2.1889221947008615,2.156031859005072
1.4551724137931035,2.1763691044962563,2.144150633314192
1.5,2.1647394922603924,2.1331973350374396
